	day_of_week	day_of_month	month	time_of_day	topic_train	t_bullet	t_limited	t_northbound	timestamp	train_id_x	tweet_id	uid	is_delay	delay_minor	delay_med	delay_major	delay_catastrophic	is_backlog	is_canceled	is_passing	is_accident	is_medical	is_mechanical	is_customer	is_event
0	0	25	1	error	'155'	0	0	1	2016-01-25 23:42:14	155	691768068385718275	155691768068385718275	1	0	0	1	0	0	0	0	0	0	0	0	0
1	4	22	1	error	'151'	0	0	1	2016-01-22 22:48:57	151	690667494906814464	151690667494906814464	1	1	0	0	0	0	0	0	0	0	0	0	0
2	2	20	1	error	'151'	0	0	1	2016-01-20 22:22:55	151	689936168893329408	151689936168893329408	1	1	0	0	0	0	0	0	0	0	0	0	0
3	1	19	1	rush_evening	'138'	0	0	0	2016-01-19 18:08:25	138	689509733640732672	138689509733640732672	0	0	0	0	0	0	0	0	0	0	0	0	0
4	1	19	1	rush_evening	'216', '225', '329'	0	1	0	2016-01-19 16:32:04	216	689485484838416388	216689485484838416388	1	0	1	0	0	0	0	0	0	0	0	0	0
5	1	19	1	rush_evening	'216', '225', '329'	0	1	1	2016-01-19 16:32:04	225	689485484838416388	225689485484838416388	1	0	1	0	0	1	0	0	0	0	0	0	0
6	1	19	1	rush_evening	'216', '225', '329'	1	0	1	2016-01-19 16:32:04	329	689485484838416388	329689485484838416388	1	1	0	0	0	1	0	0	0	0	0	0	0
7	1	19	1	rush_evening	'323'	1	0	1	2016-01-19 16:10:57	323	689480172769128448	323689480172769128448	1	0	0	0	0	0	0	0	0	0	0	0	0
8	4	15	1	error	'371'	1	0	1	2016-01-15 01:14:49	371	687805102480965636	371687805102480965636	1	0	1	0	0	0	0	0	0	0	0	0	0
9	4	15	1	error	'371'	1	0	1	2016-01-15 01:07:29	371	687803253799567360	371687803253799567360	0	0	0	0	0	0	0	1	0	0	0	0	0
10	4	15	1	error	'371'	1	0	1	2016-01-15 00:55:35	371	687800259230093312	371687800259230093312	0	0	0	0	0	0	0	1	0	0	0	0	0
11	4	15	1	error	'269'	0	1	1	2016-01-15 00:50:23	269	687798952725352449	269687798952725352449	0	0	0	0	0	0	0	1	0	0	0	0	0
12	2	13	1	workday	'217', '319'	0	1	1	2016-01-13 15:29:00	217	687295289057624064	217687295289057624064	1	0	1	0	0	1	0	0	0	0	0	0	0
13	2	13	1	workday	'217', '319'	1	0	1	2016-01-13 15:29:00	319	687295289057624064	319687295289057624064	0	0	0	0	0	0	0	1	0	0	0	0	0
14	2	13	1	error	'156'	0	0	0	2016-01-13 01:22:06	156	687082156196139008	156687082156196139008	1	0	1	0	0	0	0	0	0	0	0	0	0
