	day_of_week	day_of_month	month	time_of_day	topic_train	t_bullet	t_limited	t_northbound	timestamp	train_id_x	tweet_id	uid	is_delay	delay_minor	delay_med	delay_major	delay_catastrophic	is_backlog	is_canceled	is_passing	is_accident	is_medical	is_mechanical	is_customer	is_event	id	temp	precipiation	visability	windspeed	humidity	cloudcover
0	0	25	1	error	'155'	0	0	1	2016-01-25 23:42:14	155	691768068385718275	155691768068385718275	1	0	0	1	0	0	0	0	0	0	0	0	0	691768068385718275	52.8904166667	0.0	10.0	3.97958333333	0.811666666667	0.1555
1	4	22	1	error	'151'	0	0	1	2016-01-22 22:48:57	151	690667494906814464	151690667494906814464	1	1	0	0	0	0	0	0	0	0	0	0	0	690667494906814464	59.49875	0.003975	8.58	9.68875	0.820833333333	0.2325
2	2	20	1	error	'151'	0	0	1	2016-01-20 22:22:55	151	689936168893329408	151689936168893329408	1	1	0	0	0	0	0	0	0	0	0	0	0	689936168893329408	53.795	0.0	8.80166666667	3.73083333333	0.877916666667	0.108
3	1	19	1	rush_evening	'138'	0	0	0	2016-01-19 18:08:25	138	689509733640732672	138689509733640732672	0	0	0	0	0	0	0	0	0	0	0	0	0	689509733640732672	57.2958333333	0.0167916666667	7.55041666667	7.70958333333	0.869166666667	0.22
4	1	19	1	rush_evening	'216', '225', '329'	0	1	0	2016-01-19 16:32:04	216	689485484838416388	216689485484838416388	1	0	1	0	0	0	0	0	0	0	0	0	0	689485484838416388	57.2958333333	0.0167916666667	7.55041666667	7.70958333333	0.869166666667	0.22
5	1	19	1	rush_evening	'216', '225', '329'	0	1	0	2016-01-19 16:32:04	216	689485484838416388	216689485484838416388	1	0	1	0	0	0	0	0	0	0	0	0	0	689485484838416388	57.2958333333	0.0167916666667	7.55041666667	7.70958333333	0.869166666667	0.22
6	1	19	1	rush_evening	'216', '225', '329'	0	1	0	2016-01-19 16:32:04	216	689485484838416388	216689485484838416388	1	0	1	0	0	0	0	0	0	0	0	0	0	689485484838416388	57.2958333333	0.0167916666667	7.55041666667	7.70958333333	0.869166666667	0.22
7	1	19	1	rush_evening	'216', '225', '329'	0	1	1	2016-01-19 16:32:04	225	689485484838416388	225689485484838416388	1	0	1	0	0	1	0	0	0	0	0	0	0	689485484838416388	57.2958333333	0.0167916666667	7.55041666667	7.70958333333	0.869166666667	0.22
8	1	19	1	rush_evening	'216', '225', '329'	0	1	1	2016-01-19 16:32:04	225	689485484838416388	225689485484838416388	1	0	1	0	0	1	0	0	0	0	0	0	0	689485484838416388	57.2958333333	0.0167916666667	7.55041666667	7.70958333333	0.869166666667	0.22
9	1	19	1	rush_evening	'216', '225', '329'	0	1	1	2016-01-19 16:32:04	225	689485484838416388	225689485484838416388	1	0	1	0	0	1	0	0	0	0	0	0	0	689485484838416388	57.2958333333	0.0167916666667	7.55041666667	7.70958333333	0.869166666667	0.22
10	1	19	1	rush_evening	'216', '225', '329'	1	0	1	2016-01-19 16:32:04	329	689485484838416388	329689485484838416388	1	1	0	0	0	1	0	0	0	0	0	0	0	689485484838416388	57.2958333333	0.0167916666667	7.55041666667	7.70958333333	0.869166666667	0.22
11	1	19	1	rush_evening	'216', '225', '329'	1	0	1	2016-01-19 16:32:04	329	689485484838416388	329689485484838416388	1	1	0	0	0	1	0	0	0	0	0	0	0	689485484838416388	57.2958333333	0.0167916666667	7.55041666667	7.70958333333	0.869166666667	0.22
