,id,text,train_id,is_delay,delay_minor,delay_med,delay_major,delay_catastrophic,is_backlog,is_canceled,is_passing,is_accident,is_medical,is_mechanical,is_customer,is_event
0,691768068385718275,#NB155 is 22 mins late. #Caltrain,155,1,0,0,1,0,0,0,0,0,0,0,0,0
1,690667494906814464,#NB 151 is running 10 mins behind #Caltrain,151,1,1,0,0,0,0,0,0,0,0,0,0,0
2,689936168893329408,#NB151 is 10 mins down at San Mateo. #Caltrain,151,1,1,0,0,0,0,0,0,0,0,0,0,0
3,689509733640732672,#SB138 will board on the northbound platform at BAY. #Caltrain,138,0,0,0,0,0,0,0,0,0,0,0,0,0
4,689485484838416388,"#SB216 delayed 13 minutes at SAT
#NB225 delayed 14 minutes at PA
#NB329 delayed 7 minutes, following 225. 
#Caltrain",216,1,0,1,0,0,0,0,0,0,0,0,0,0
5,689485484838416388,"#SB216 delayed 13 minutes at SAT
#NB225 delayed 14 minutes at PA
#NB329 delayed 7 minutes, following 225. 
#Caltrain",225,1,0,1,0,0,1,0,0,0,0,0,0,0
6,689485484838416388,"#SB216 delayed 13 minutes at SAT
#NB225 delayed 14 minutes at PA
#NB329 delayed 7 minutes, following 225. 
#Caltrain",329,1,1,0,0,0,1,0,0,0,0,0,0,0
7,689480172769128448,#NB323 reported car on tracks at Charleston Ave. no collision but trains holding through area. #Caltrain,323,1,0,0,0,0,0,0,0,0,0,0,0,0
8,687805102480965636,#NB371 is currently 11 mins late at Cal Ave. #Caltrain,371,1,0,1,0,0,0,0,0,0,0,0,0,0
9,687803253799567360,#NB371 will pass &amp; be ahead of 269 at Redwood City. Watch for train number on front. #Caltrain,371,0,0,0,0,0,0,0,1,0,0,0,0,0
10,687800259230093312,#NB371 will depart San Jose on track 2. #Caltrain,371,0,0,0,0,0,0,0,1,0,0,0,0,0
11,687798952725352449,#NB269 will depart ahead of 371. #Caltrain,269,0,0,0,0,0,0,0,1,0,0,0,0,0
12,687295289057624064,#NB217 is 12 mi s late. #NB319 departed SJ ahead of 217. #Caltrain,217,1,0,1,0,0,1,0,0,0,0,0,0,0
13,687295289057624064,#NB217 is 12 mi s late. #NB319 departed SJ ahead of 217. #Caltrain,319,0,0,0,0,0,0,0,1,0,0,0,0,0
14,687082156196139008,#SB156 is 10 mins late out of TAM. #Caltrain,156,1,0,1,0,0,0,0,0,0,0,0,0,0
15,687039767775543296,#SB150 10 mins late @ SUN due to fare evader. #Caltrain,150,1,1,0,0,0,0,0,0,0,0,0,1,0
16,686953828432752640,#NB323 – 10min late @ SBR. #DoorProblems. #Caltrain,323,1,1,0,0,0,0,0,0,0,0,0,0,0
17,686753687599841280,"375/277 @ PA
279 @ MV 86 mins late
NB366 almost to SF, headed into 22nd St.
#Caltrain",366,1,0,0,0,0,1,0,0,0,0,0,0,0
18,686749292250267648,NB366 currently at MIL. #Caltrain,366,1,0,0,0,0,1,0,0,0,0,0,0,0
19,686744294753828864,"SB273 turned southbound @ SUN.
375 &amp; 277 coupling at LAW 
279 holding at SCL, 64 mins late
NB366 currently at San Carlos.
#Caltrain",375,1,0,0,0,0,1,0,0,0,0,0,0,0
20,686744294753828864,"SB273 turned southbound @ SUN.
375 &amp; 277 coupling at LAW 
279 holding at SCL, 64 mins late
NB366 currently at San Carlos.
#Caltrain",279,1,0,0,0,1,1,0,0,0,0,0,0,0
20,686744294753828864,"SB273 turned southbound @ SUN.
375 &amp; 277 coupling at LAW 
279 holding at SCL, 64 mins late
NB366 currently at San Carlos.
#Caltrain",366,1,0,0,0,0,1,0,0,0,0,0,0,0
20,686744294753828864,"SB273 turned southbound @ SUN.
375 &amp; 277 coupling at LAW 
279 holding at SCL, 64 mins late
NB366 currently at San Carlos.
#Caltrain",277,1,0,0,0,0,1,0,0,0,0,0,0,0
21,686733080246108160,#NB375 7 #NB277 coupling at LAW due to crew shortage.,375,1,0,0,0,0,1,0,0,0,0,0,0,0
22,686733080246108160,#NB375 7 #NB277 coupling at LAW due to crew shortage.,277,1,0,0,0,0,1,0,0,0,0,0,0,0
