	Unnamed: 0	created_at	favorite_count	hashtags	id	in_reply_to_screen_name	retweet_count	text	day_of_week	day_of_month	month	time_of_day	topic_train	t_bullet	t_limited	t_northbound	timestamp	train_id	tweet_id
0	0	2016-01-25 23:42:14	1.0	NB155, Caltrain	691768068385718275		2.0	#NB155 is 22 mins late. #Caltrain	0	25	1	error	'155'	0	0	1	2016-01-25 23:42:14	155	691768068385718275
1	1	2016-01-22 22:48:57		NB, Caltrain	690667494906814464		2.0	#NB 151 is running 10 mins behind #Caltrain	4	22	1	error	'151'	0	0	1	2016-01-22 22:48:57	151	690667494906814464
2	2	2016-01-20 22:22:55	1.0	NB151, Caltrain	689936168893329408		2.0	#NB151 is 10 mins down at San Mateo. #Caltrain	2	20	1	error	'151'	0	0	1	2016-01-20 22:22:55	151	689936168893329408
3	3	2016-01-19 18:08:25	1.0	SB138, Caltrain	689509733640732672		2.0	#SB138 will board on the northbound platform at BAY. #Caltrain	1	19	1	rush_evening	'138'	0	0	0	2016-01-19 18:08:25	138	689509733640732672
4	4	2016-01-19 16:32:04	2.0	SB216, NB225, NB329, Caltrain	689485484838416388		4.0	"#SB216 delayed 13 minutes at SAT
#NB225 delayed 14 minutes at PA
#NB329 delayed 7 minutes, following 225. 
#Caltrain"	1	19	1	rush_evening	'216', '225', '329'	0	1	0	2016-01-19 16:32:04	216	689485484838416388
5	5	2016-01-19 16:32:04	2.0	SB216, NB225, NB329, Caltrain	689485484838416388		4.0	"#SB216 delayed 13 minutes at SAT
#NB225 delayed 14 minutes at PA
#NB329 delayed 7 minutes, following 225. 
#Caltrain"	1	19	1	rush_evening	'216', '225', '329'	0	1	1	2016-01-19 16:32:04	225	689485484838416388
6	6	2016-01-19 16:32:04	2.0	SB216, NB225, NB329, Caltrain	689485484838416388		4.0	"#SB216 delayed 13 minutes at SAT
#NB225 delayed 14 minutes at PA
#NB329 delayed 7 minutes, following 225. 
#Caltrain"	1	19	1	rush_evening	'216', '225', '329'	1	0	1	2016-01-19 16:32:04	329	689485484838416388
7	7	2016-01-19 16:10:57	4.0	NB323, Caltrain	689480172769128448		7.0	#NB323 reported car on tracks at Charleston Ave. no collision but trains holding through area. #Caltrain	1	19	1	rush_evening	'323'	1	0	1	2016-01-19 16:10:57	323	689480172769128448
8	8	2016-01-15 01:14:49		NB371, Caltrain	687805102480965636		2.0	#NB371 is currently 11 mins late at Cal Ave. #Caltrain	4	15	1	error	'371'	1	0	1	2016-01-15 01:14:49	371	687805102480965636
9	9	2016-01-15 01:07:29	1.0	NB371, Caltrain	687803253799567360		4.0	#NB371 will pass &amp; be ahead of 269 at Redwood City. Watch for train number on front. #Caltrain	4	15	1	error	'371'	1	0	1	2016-01-15 01:07:29	371	687803253799567360
10	10	2016-01-15 00:55:35	1.0	NB371, Caltrain	687800259230093312		3.0	#NB371 will depart San Jose on track 2. #Caltrain	4	15	1	error	'371'	1	0	1	2016-01-15 00:55:35	371	687800259230093312
11	11	2016-01-15 00:50:23		NB269, Caltrain	687798952725352449		4.0	#NB269 will depart ahead of 371. #Caltrain	4	15	1	error	'269'	0	1	1	2016-01-15 00:50:23	269	687798952725352449
12	12	2016-01-13 15:29:00	1.0	NB217, NB319, Caltrain	687295289057624064		6.0	#NB217 is 12 mi s late. #NB319 departed SJ ahead of 217. #Caltrain	2	13	1	workday	'217', '319'	0	1	1	2016-01-13 15:29:00	217	687295289057624064
13	13	2016-01-13 15:29:00	1.0	NB217, NB319, Caltrain	687295289057624064		6.0	#NB217 is 12 mi s late. #NB319 departed SJ ahead of 217. #Caltrain	2	13	1	workday	'217', '319'	1	0	1	2016-01-13 15:29:00	319	687295289057624064
14	14	2016-01-13 01:22:06		SB156, Caltrain	687082156196139008		1.0	#SB156 is 10 mins late out of TAM. #Caltrain	2	13	1	error	'156'	0	0	0	2016-01-13 01:22:06	156	687082156196139008
15	15	2016-01-12 22:33:39		SB150, Caltrain	687039767775543296		2.0	#SB150 10 mins late @ SUN due to fare evader. #Caltrain	1	12	1	error	'150'	0	0	0	2016-01-12 22:33:39	150	687039767775543296
16	16	2016-01-12 16:52:10	2.0	NB323, DoorProblems, Caltrain	686953828432752640		3.0	#NB323 – 10min late @ SBR. #DoorProblems. #Caltrain	1	12	1	rush_evening	'323', ''	1	0	1	2016-01-12 16:52:10	323	686953828432752640
17	17	2016-01-12 03:36:53	3.0	Caltrain	686753687599841280		3.0	"375/277 @ PA
279 @ MV 86 mins late
NB366 almost to SF, headed into 22nd St.
#Caltrain"	1	12	1	error	'366'	1	0	0	2016-01-12 03:36:53	366	686753687599841280
18	18	2016-01-12 03:19:25	2.0	Caltrain	686749292250267648		2.0	NB366 currently at MIL. #Caltrain	1	12	1	error	'366'	1	0	0	2016-01-12 03:19:25	366	686749292250267648
19	19	2016-01-12 02:59:33	1.0	Caltrain	686744294753828864		3.0	"SB273 turned southbound @ SUN.
375 &amp; 277 coupling at LAW 
279 holding at SCL, 64 mins late
NB366 currently at San Carlos.
#Caltrain"	1	12	1	error	'273', '366'	0	1	1	2016-01-12 02:59:33	273	686744294753828864
20	20	2016-01-12 02:59:33	1.0	Caltrain	686744294753828864		3.0	"SB273 turned southbound @ SUN.
375 &amp; 277 coupling at LAW 
279 holding at SCL, 64 mins late
NB366 currently at San Carlos.
#Caltrain"	1	12	1	error	'273', '366'	1	0	0	2016-01-12 02:59:33	366	686744294753828864
21	21	2016-01-12 02:14:59	1.0	NB375, NB277	686733080246108160		3.0	#NB375 7 #NB277 coupling at LAW due to crew shortage.	1	12	1	error	'375', '277'	1	0	1	2016-01-12 02:14:59	375	686733080246108160
22	22	2016-01-12 02:14:59	1.0	NB375, NB277	686733080246108160		3.0	#NB375 7 #NB277 coupling at LAW due to crew shortage.	1	12	1	error	'375', '277'	0	1	1	2016-01-12 02:14:59	277	686733080246108160
23	23	2016-01-12 02:07:52	3.0	SB366, Caltrain	686731287093096450		6.0	#SB366 is dropping all SB passengers at San Antonio, turning as the JPBX924 northbound &amp; making all local stops. #Caltrain	1	12	1	error	'366', ''	1	0	0	2016-01-12 02:07:52	366	686731287093096450
